"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";
"1";"";"28C64C";"DIL28-6";"IC13";"MEMORY";"";"AT28C64B-15PU";"1095784";"96K6557";"";"";"";
"2";"";"62256P";"DIL28-6";"IC1, IC2";"MEMORY";"";"";"unknown";"unknown";"1";"";"";
"18";"";"C-US025-025X050";"C025-025X050";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"1";"";"LED5MM";"LED5MM";"PWR";"LED";"";"";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";"";"";"";"92";"";"";
"6";"";"RNX8";"RN-9";"RN1, RN2, RN3, RN4, RN5, RN6";"RESISTOR NETWORK";"";"";"unknown";"unknown";"0";"";"";
"1";"330";"R0207/10";"0207/10";"R2";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"1";"74ALS00N";"74ALS00N";"DIL14";"IC10";"Quad 2-input NAND gate";"";"";"";"";"0";"";"";
"1";"74ALS30N";"74ALS30N";"DIL14";"IC4";"8-input NAND gate";"";"";"";"";"0";"";"";
"2";"74LS04N";"74LS04N";"DIL14";"IC6, IC14";"Hex INVERTER";"";"";"";"";"0";"";"";
"1";"74LS138N";"74LS138N";"DIL16";"IC7";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";"7";"";"";
"1";"74LS157N";"74LS157N";"DIL16";"IC11";"Quadruple 2-line to 1-line data SELECTOR/MULTIPLEXER";"";"";"";"";"0";"";"";
"2";"74LS244N";"74LS244N";"DIL20";"IC8, IC9";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";"0";"";"";
"1";"74LS245N";"74LS245N";"DIL20";"IC5";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";"";"";
"1";"74LS32N";"74LS32N";"DIL14";"IC3";"Quad 2-input OR gate";"";"";"";"";"9";"";"";
"4";"74LS374N";"74LS374N";"DIL20";"IC15, IC16, IC17, IC19";"Octal D type transparent LATCH, edge triggered";"";"";"";"";"0";"";"";
"1";"74LS74N";"74LS74N";"DIL14";"IC12";"Dual D type positive edge triggered FLIP FLOP, preset and clear";"";"";"";"";"0";"";"";
"1";"FABC96R";"FABC96R";"FABC96R";"X1";"CONNECTOR female, 96 pins, type R, rows ABC, grid 2.54 mm";"";"";"";"";"";"";"";
