"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";"VALUE";
"8";"";"6264A";"DIL28-6";"IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8";"MEMORY";"";"";"283605";"unknown";"";"";"";"";
"1";"";"9070-1W";"9070-1W";"UCODE";"TOGGLE SWITCH";"";"";"";"";"";"";"";"";
"2";"";"JP1E";"JP1";"DTR-RESET, FTDI-VCC";"JUMPER";"";"";"";"";"";"";"";"";
"1";"";"JP5QE";"JP5Q";"ROM";"JUMPER";"";"";"";"";"";"";"";"";
"4";"";"LED5MM";"LED5MM";"FAULT, LOADING, PWR1, READY";"LED";"";"";"";"";"";"";"";"";
"2";"";"MA20-2";"MA20-2";"SV1, SV3";"PIN HEADER";"";"";"unknown";"unknown";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X2";"2X02";"JP1";"PIN HEADER";"";"";"";"";"0";"";"";"";
"16";"0.1";"C-US025-024X044";"C025-024X044";"C2, C3, C4, C5, C6, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"3";"10k";"R-US_0207/10";"0207/10";"R3, R8, R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"16Mhz";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"1667008";"unknown";"";"";"";"";
"2";"2.2k";"R-US_0207/10";"0207/10";"R5, R12";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"2";"20pf";"C-US025-024X044";"C025-024X044";"C11, C12";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"24AA01P";"24AA01P";"DIL8";"IC9";"Serial EEPROM";"";"24AA01-I/P";"1331266";"35M0692";"";"";"";"";
"3";"330";"R-US_0207/10";"0207/10";"R6, R11, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"330";"R0207/10";"0207/10";"R1";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";"";
"1";"ATMEGA328P_PDIP";"ATMEGA328P_PDIP";"DIL28-3";"IC10";"uC used in the Arduino";"";"";"";"";"";"";"";"";
"1";"FTDI_DEVICE";"FTDI_DEVICE";"FTDI_DEVICE_SIDE";"JP3";"Connector which mates to FTDI basic or FTDI cable.";"";"";"";"";"";"";"";"";
"5";"MCP23017SP";"MCP23017SP";"DIL28-3";"IC1-5, IC11, IC12, IC13, IC14";"http://ww1.microchip.com/downloads/en/DeviceDoc/21952a.pdf";"MICROCHIP";"MCP23017-E/SP";"1332088";"31K2959";"";"";"";"";
"1";"SWITCH-MOMENTARY-2SIDE_EZ";"SWITCH-MOMENTARY-2SIDE_EZ";"TACTILE-PTH-SIDEEZ";"START";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";
"1";"TS-1109-7";"DIP-BUTTON-TOP-BLACK(4P-D6.2MM)";"SW4-6.2X6.2X5.0MM";"CPU-RESET";"311020032";"";"TS-1109-7";"";"";"";"";"";"TS-1109-7";
